topic,Count,Name,Representation,Representative_Docs,dominant_emotion
-1,6570,-1_the_is_to_rt,"['the', 'is', 'to', 'rt', 'of', 'for', 'and', 'in', 'by', 'helicopter']","['my heart goes out to everyone who have been affected by the floods... we are a strong region &amp; we will be fine!!!', 'rt : so heartbreaking, my thoughts are with all involved in the clutha pub helicopter crash, stay strong people of glasgow .', 'rt : our hearts go out to all those affected by the queensland floods. stay safe everyone. qld']",trust
0,1169,0_sardegna_di_per_il,"['sardegna', 'di', 'per', 'il', 'terremoto', 'alluvione', 'che', 'non', 'allertameteosar', 'le']","['rt : alluvione sardegna: tutti i numeri utili per segnalare le emergenze ( allertameteosar, sardegna, forzasardegna)-', 'sardegna', 'rt : sardegna']",trust
1,1072,1_nswfires_fires_australia_nsw,"['nswfires', 'fires', 'australia', 'nsw', 'sydney', 'bush', 'fire', 'nswrfs', 'bushfires', 'bushfire']","[""if you're in nsw and are near the fires please stay safe! you all are in my prayers!"", 'thoughts are with those around the fires. stay safe. nswfires', 'australia fires']",trust
2,949,2_lax_shooting_airport_tsa,"['lax', 'shooting', 'airport', 'tsa', 'suspect', 'angeles', 'shooter', 'laxshooting', 'agent', 'terminal']","['rt : tsa agent killed in los angeles airport shooting - , ,', 'shooting at lax terminal . lax shooting', 'the was a shooting in the lax airport']",trust
3,938,3_bangladesh_collapse_building_factory,"['bangladesh', 'collapse', 'building', 'factory', 'toll', 'death', 'garment', 'savar', 'dhaka', 'passes']","['bangladesh factory collapse death toll hits , : the death toll from a garment factory building that collapsed...', 'breaking news: death toll in bangladesh building collapse at', 'bangladesh building collapse']",sadness
4,840,4_meteor_russia_russianmeteor_russian,"['meteor', 'russia', 'russianmeteor', 'russian', 'asteroid', 'injures', 'strike', 'shower', 'meteorite', 'earth']","['meteor hits russia: via', 'russian meteor', 'a meteor hit russia?!?!?!']",trust
5,687,5_haze_singapore_sghaze_psi,"['haze', 'singapore', 'sghaze', 'psi', 'pm', 'indonesia', 'update', 'reading', 'siao', 'complain']","['rt : sghaze update: psi is at pm', 'rt : sghaze psi is at pm.', 'rt : sghaze psi is at pm.']",trust
6,645,6_typhoon_haiyan_philippines_manila,"['typhoon', 'haiyan', 'philippines', 'manila', 'prayforvisayas', 'super', 'pray', 'earthquake', 'visayas', 'bohol']","['typhoon haiyan via', 'at least , people dead philippines typhoon haiyan', 'rt : our thoughts &amp; prayers are with the people of the philippines... super typhoon haiyan']",trust
7,619,7_helicopter_glasgow_crash_pub,"['helicopter', 'glasgow', 'crash', 'pub', 'clutha', 'afghanistan', 'into', 'crashes', 'soldiers', 'rip']","['police helicopter has crashed into pub in glasgow', 'helicopter crashes into pub in glasgow', 'rt : helicopter crashes into pub in glasgow']",sadness
8,592,8_york_train_nyc_derailment,"['york', 'train', 'nyc', 'derailment', 'north', 'metro', 'new', 'derailed', 'mph', 'injured']","['rt : breaking: a metro-north passenger train has derailed in new york city.', 'rt : breaking: a metro-north passenger train has derailed in new york city.', 'rt : dead in nyc metro-north train derailment, injured:']",sadness
9,547,9_colorado_wildfire_wildfires_springs,"['colorado', 'wildfire', 'wildfires', 'springs', 'fire', 'fires', 'waldo', 'flagstafffire', 'homes', 'canyon']","['rt : colorado is on fire.', 'colorado wildfires', 'colorado springs on fire.']",trust
10,537,10_quebec_lac_megantic_oil,"['quebec', 'lac', 'megantic', 'oil', 'lacmegantic', 'train', 'canada', 'mégantic', 'missing', 'town']","['rt : canada explosion: oil train derails in quebec', 'rt : news by yahoo police: quebec train crash death toll now at : lac-megantic, quebec (ap) — canadian officials ...', 'death toll in quebec oil train derailment now']",sadness
11,483,11_rica_costa_costarica_amuay,"['rica', 'costa', 'costarica', 'amuay', 'en', 'el', 'es', 'terremoto', 'que', 'de']","['d: terremoto en costa rica', 'terremoto en costa rica de ,', 'rt : terremoto de . en costa rica']",trust
12,475,12_mégantic_pour_les_lac,"['mégantic', 'pour', 'les', 'lac', 'lacmégantic', 'lacmegantic', 'et', 'du', 'des', 'le']","['rt : ce matin, je voudrais que chacun de vous ayez une pensée pour les gens de lac mégantic pour les aider à passer à... http…', 'rt : rt : seule la croix-rouge du québec est autorisée à amasser des dons pour les sinistrés de lacmegantic rces', 'rt : support aux gens du lac mégantic lacmégantic']",trust
13,454,13_costa_rica_tsunami_alerta,"['costa', 'rica', 'tsunami', 'alerta', 'quake', 'magnitude', 'earthquake', 'chile', 'powerful', 'coast']","['earthquake of . hits costa rica. tsunami warning', 'rt : earthquake of . hits costa rica. tsunami warning', 'alerta de tsunami en todo la costa de costa rica terremoto .']",trust
14,429,14_texas_fertilizer_plant_explosion,"['texas', 'fertilizer', 'plant', 'explosion', 'west', 'waco', 'tx', 'blast', 'near', 'camera']","['rt : wow! video of the explosion: fertilizer plant explosion near waco, texas', 'explosion at a texas plant :-(', 'explosion hits fertilizer plant north of waco, texas']",sadness
15,418,15_guatemala_sismo_muertos_por,"['guatemala', 'sismo', 'muertos', 'por', 'en', 'el', 'terremoto', 'grados', 'de', 'fuerte']","['muertos en guatemala tras sismo de . .', 'guatemala', 'muertos por sismo en en guatemala']",trust
16,382,16_bigwet_queensland_australia_brisbane,"['bigwet', 'queensland', 'australia', 'brisbane', 'floods', 'qld', 'flood', 'flooding', 'qldfloods', 'water']","['flood brisbane bigwet', 'rt : floods hit queensland, australia', 'rt : for queensland. bigwet']",trust
17,380,17_boston_marathon_bombing_suspect,"['boston', 'marathon', 'bombing', 'suspect', 'bomb', 'bostonmarathon', 'attack', 'suspects', 'finish', 'explosions']","['rt : live video: explosion at boston marathon', 'rt : boston marathon suspect in custody, boston police say.', 'rt : boston police: at least people killed in boston marathon bombing bostonmarathon']",trust
18,370,18_brazil_nightclub_fire_such,"['brazil', 'nightclub', 'fire', 'such', 'hear', 'tragedy', 'sad', 'down', 'praying', 'about']","['rt : so sad to hear about the nightclub fire in brazil. such a tragedy. praying for everyone affected down there.', 'rt : so sad to hear about the nightclub fire in brazil. such a tragedy. praying for everyone affected down there.', 'rt : so sad to hear about the nightclub fire in brazil. such a tragedy. praying for everyone affected down there.']",sadness
19,303,19_bopha_typhoon_pablo_philippines,"['bopha', 'typhoon', 'pablo', 'philippines', 'super', 'pabloph', 'landfall', 'philippine', 'southern', 'death']","['rt : the death toll from typhoon bopha in philippines is up to .', 'video: typhoon bopha hits philippines', 'rt : typhoon bopha']",sadness
20,294,20_boate_kiss_da_em,"['boate', 'kiss', 'da', 'em', 'na', 'incêndio', 'santa', 'maria', 'do', 'um']","['por que a boate pegou fogo? porque ela kiss kiss kiss kiss', 'tragédia no rio grande do sul incêndio na boate kiss deixa mortos em santa maria : via', 'rt : santa maria, na boate kiss']",trust
21,285,21_philippines_quake_earthquake_magnitude,"['philippines', 'quake', 'earthquake', 'magnitude', 'central', 'hits', 'toll', 'strikes', 'death', 'bohol']","['. magnitude earthquake hits philippines', 'rt : . -magnitude earthquake hits philippines', 'magnitude- . earthquake hits the philippines:']",sadness
22,284,22_colorado_flooding_floods_unaccounted,"['colorado', 'flooding', 'floods', 'unaccounted', 'oil', 'gas', 'hundreds', 'flash', 'spills', 'wells']","['hundreds unaccounted for in colorado floods', 'colorado floods', 'rt : colorado floods']",sadness
23,284,23_метеорит_челябинск_на_что,"['метеорит', 'челябинск', 'на', 'что', 'челябинске', 'упало', 'самом', 'деле', 'не', 'chelly']","['rt : что на самом деле упало в челябинске.… метеорит челябинск', 'rt : что на самом деле упало в челябинске.… метеорит челябинск', 'rt : что на самом деле упало в челябинске.… метеорит челябинск']",trust
24,280,24_spain_train_driver_crash,"['spain', 'train', 'driver', 'crash', 'derails', 'phone', 'least', 'derailed', 'killing', 'accident']","['rt : pray for the train victims in spain', 'rt : spain train driver was on phone at time of crash | via', 'rt : spain train crash video']",sadness
25,278,25_refinería_amuay_explosión_la,"['refinería', 'amuay', 'explosión', 'la', 'venezuela', 'en', 'de', 'refineria', 'incendio', 'fuego']","['rt : sube a la cifra de muertos por explosión de refinería de amuay en venezuela.', 'la refinería de amuay... vía', 'la refinería de amuay…']",trust
26,268,26_santamaria_que_em_tragédia,"['santamaria', 'que', 'em', 'tragédia', 'deus', 'os', 'mais', 'não', 'das', 'pessoas']","['nyc........ santamaria', 'santamaria', 'santamaria -']",trust
27,243,27_sa_na_ang_ng,"['sa', 'na', 'ang', 'ng', 'baha', 'maringph', 'pa', 'ko', 'ka', 'mga']","['humupa na daw ang baha sa sta. mesa, manila. does this mean na may pasok na bukas? gosh, sana wala pa. midterms namin sa biology if ever!', 'baha na for sure sa recto, sa quiapo, sa espana, sa sm manila. baha na lhat ng way ko papasok!!', 'grabe ang baha sa manila. hope tumigil na ang ulan at bumaba na ang tubig. keep safe everyone :(']",trust
